site_id,fold,n,KGE,r,pbias,record,depth
BYUM8,all,570,0.5628747128346571,0.7433765137316131,35.4,OLD (to 2025-04),Middle
CHSM8,all,464,0.45745949532765773,0.7150218409307609,-0.2,OLD (to 2025-04),Middle
CNNM8,all,143,0.19796531327263234,0.6164422091917853,-30.5,OLD (to 2025-04),Middle
CRNM8,all,118,0.460310163475526,0.5868957220563485,-17.3,OLD (to 2025-04),Middle
CSTM8,all,160,0.5359426574456929,0.7449371826853779,35,OLD (to 2025-04),Middle
DOGM8,all,117,-3.3442395580186837,-0.29398890191944477,93.8,OLD (to 2025-04),Middle
DRYM8,all,119,0.40902229311683336,0.49246032649977994,27.7,OLD (to 2025-04),Middle
DYRM8,all,559,0.6858118505578146,0.8506043876654893,-25.3,OLD (to 2025-04),Middle
FOXM8,all,73,0.30328501398399066,0.8221079858329648,-21.3,OLD (to 2025-04),Middle
FRGM8,all,486,0.0393408634690986,0.8255394509455766,94.2,OLD (to 2025-04),Middle
FTKM8,all,60,0.17482478698249515,0.8330566093979916,-9.8,OLD (to 2025-04),Middle
GLOM8,all,51,-0.07377667749924077,-0.010772242623709247,-21.1,OLD (to 2025-04),Middle
HIWM8,all,145,-1.6929404860584678,-0.5050713562066579,-39.2,OLD (to 2025-04),Middle
HOGM8,all,66,0.7169556936167059,0.8802677689132858,-17.8,OLD (to 2025-04),Middle
HWTM8,all,526,0.24854145650010984,0.6326254448352187,65.5,OLD (to 2025-04),Middle
INNM8,all,85,0.05521374621803299,0.7717899743110735,9.2,OLD (to 2025-04),Middle
ISSM8,all,96,0.24173999849170247,0.8062886980251488,-4.6,OLD (to 2025-04),Middle
JGPM8,all,102,0.6729898382613987,0.7378749153123065,-14.7,OLD (to 2025-04),Middle
LGGM8,all,558,0.7482503450711947,0.8187193240136669,1.4,OLD (to 2025-04),Middle
LLNM8,all,31,-0.037961234770934604,0.9153340567267059,81.2,OLD (to 2025-04),Middle
LMDM8,all,572,0.4946769977001786,0.8441493198718957,-15.1,OLD (to 2025-04),Middle
LOAM8,all,113,0.38368218276593136,0.510618177972172,9.5,OLD (to 2025-04),Middle
LORM8,all,390,0.326568332950789,0.7510799018208878,41,OLD (to 2025-04),Middle
LTBM8,all,74,0.49694128057363696,0.6694238666820169,34.1,OLD (to 2025-04),Middle
LVAM8,all,562,0.31666924401889995,0.6761035546229127,42.9,OLD (to 2025-04),Middle
MBYM8,all,101,0.1706511223725301,0.8388973480390192,52.1,OLD (to 2025-04),Middle
MEDM8,all,43,0.1551468887409394,0.6102780292536069,31.8,OLD (to 2025-04),Middle
MINM8,all,114,-0.3469126307010393,-0.10157327856756986,3.5,OLD (to 2025-04),Middle
MOBM8,all,483,0.4286997386150063,0.5999865786691815,-13.6,OLD (to 2025-04),Middle
MOTM8,all,610,0.3700223453750001,0.4461565485147514,-21.3,OLD (to 2025-04),Middle
MOYM8,all,507,0.4573530439566943,0.7916825601120318,8.7,OLD (to 2025-04),Middle
MSSM8,all,512,0.0880898907809573,0.46822730454554623,73.4,OLD (to 2025-04),Middle
MTLM8,all,100,-0.1380561472018249,0.8360599784525997,-24.5,OLD (to 2025-04),Middle
MTRM8,all,488,-0.4886029226520543,0.7946954808689043,147.4,OLD (to 2025-04),Middle
NUAM8,all,57,0.4571561786236362,0.7938131464277947,16.5,OLD (to 2025-04),Middle
OHMM8,all,73,0.183577060557354,0.935971269179488,24.2,OLD (to 2025-04),Middle
OTRM8,all,494,0.5436027703838937,0.8534220609243364,-23.5,OLD (to 2025-04),Middle
PARM8,all,51,0.23826728889675464,0.7912568416529259,-5.7,OLD (to 2025-04),Middle
RADM8,all,682,0.34472272156116424,0.5357639176569098,-29,OLD (to 2025-04),Middle
RGTM8,all,559,0.4101595892332913,0.6495271277859893,42.4,OLD (to 2025-04),Middle
RMYM8,all,600,0.09266805707150116,0.7497405639328186,84.1,OLD (to 2025-04),Middle
RYOM8,all,539,-0.01145351810501527,0.21481326955578048,18.1,OLD (to 2025-04),Middle
SASM8,all,439,0.49778189293952324,0.8498039682850106,-14.6,OLD (to 2025-04),Middle
SBSM8,all,117,0.3618818718424164,0.8173190415151278,18.9,OLD (to 2025-04),Middle
SCYM8,all,365,0.11763438525940084,0.6594970474334103,80.9,OLD (to 2025-04),Middle
SDLM8,all,152,0.582622356370502,0.7776177594165037,-19.1,OLD (to 2025-04),Middle
SDSM8,all,527,0.6124810906686033,0.6679063026241439,-14.3,OLD (to 2025-04),Middle
SURM8,all,619,0.7785508058852211,0.822559854076727,-3.5,OLD (to 2025-04),Middle
SVYM8,all,64,0.37718980841863237,0.8730356447873217,4.7,OLD (to 2025-04),Middle
TAMM8,all,65,0.2690966871396162,0.7823735372627316,-30.2,OLD (to 2025-04),Middle
TRNM8,all,457,0.2893886717122093,0.7254922201590398,48.9,OLD (to 2025-04),Middle
TWOM8,all,641,0.5940294888711949,0.6385800741885502,-8.5,OLD (to 2025-04),Middle
VLTM8,all,396,0.22255587272541977,0.4634712075126924,-15.9,OLD (to 2025-04),Middle
VOTM8,all,43,0.4281805054438791,0.7780990106847201,31.7,OLD (to 2025-04),Middle
WETM8,all,51,0.45029184070854256,0.9431285533235436,50.5,OLD (to 2025-04),Middle
WIEM8,all,549,0.7097659760290307,0.7221445518439168,-7.4,OLD (to 2025-04),Middle
WNFM8,all,102,0.6788926892530588,0.7082246602251108,12.5,OLD (to 2025-04),Middle
WOFM8,all,60,0.2914894900382884,0.7623936747906792,7.3,OLD (to 2025-04),Middle
WRHM8,all,562,0.34425980401024014,0.5983808901417261,-24.1,OLD (to 2025-04),Middle
ASAM8,all,742,0.44679641039014817,0.7274172076585883,-6,NEW (to 2026-06),Middle
BDEM8,all,334,0.6829771297240714,0.8675558744517933,-4.6,NEW (to 2026-06),Middle
BNGM8,all,600,0.42409333651330405,0.8158491711359539,-32.7,NEW (to 2026-06),Middle
BNWM8,all,736,0.49769635644891064,0.9180465140542493,-32.7,NEW (to 2026-06),Middle
BRYM8,all,719,-0.23110600224398103,-0.11920422078887913,-31,NEW (to 2026-06),Middle
BSEM8,all,459,0.44695956388166047,0.5359482371768411,-18.2,NEW (to 2026-06),Middle
BSWM8,all,488,-0.17852959258083168,0.6994914950376477,113.6,NEW (to 2026-06),Middle
BTSM8,all,1241,0.5480483136871028,0.7410504088327726,6.3,NEW (to 2026-06),Middle
BUFM8,all,351,0.466131057347309,0.9359269216193695,-26,NEW (to 2026-06),Middle
BUSM8,all,820,0.4481616220814809,0.6794882146854936,-16.4,NEW (to 2026-06),Middle
BYUM8,all,890,0.602579097029829,0.7716322056372173,32.5,NEW (to 2026-06),Middle
CHSM8,all,739,0.5883397540183233,0.7978710614036666,0.9,NEW (to 2026-06),Middle
CNNM8,all,521,0.35680673180941846,0.566823423613249,-31,NEW (to 2026-06),Middle
CRNM8,all,519,0.7191996593680355,0.7607850037295476,-10.4,NEW (to 2026-06),Middle
CSTM8,all,600,0.38549686680355677,0.7551516443408506,49.1,NEW (to 2026-06),Middle
DOGM8,all,415,-1.0559286707070394,-0.2849856161050283,55.1,NEW (to 2026-06),Middle
DRYM8,all,433,0.5512581653391551,0.614843640922372,22.6,NEW (to 2026-06),Middle
DYRM8,all,870,0.544606324851924,0.8232715916850603,-21.7,NEW (to 2026-06),Middle
FOXM8,all,408,0.4012706176051025,0.6194126804426605,-3.4,NEW (to 2026-06),Middle
FRGM8,all,803,-0.01069241349482608,0.7751073464174691,98.4,NEW (to 2026-06),Middle
FTKM8,all,390,0.41972891926299294,0.7425541204008835,17.7,NEW (to 2026-06),Middle
GLOM8,all,391,0.5214520718713247,0.6794083197628998,-18,NEW (to 2026-06),Middle
HIWM8,all,583,0.40641859753244003,0.5263331455789638,-35.6,NEW (to 2026-06),Middle
HOGM8,all,402,0.7183573694912169,0.8562258503149827,-9.1,NEW (to 2026-06),Middle
HWTM8,all,834,0.21218350696536592,0.6754721756791822,69.1,NEW (to 2026-06),Middle
INNM8,all,462,0.54685488751437,0.7462844956572705,22.5,NEW (to 2026-06),Middle
ISSM8,all,462,0.42625199628120347,0.6228052732159962,22.5,NEW (to 2026-06),Middle
JGPM8,all,532,0.5066677317895993,0.8114725448900377,-6.2,NEW (to 2026-06),Middle
LGGM8,all,885,0.6843895478865054,0.7929243457529592,-1,NEW (to 2026-06),Middle
LLNM8,all,316,-0.4701167206668466,0.8303792987952857,138.8,NEW (to 2026-06),Middle
LMDM8,all,894,0.46259776052656065,0.8353792521065531,-19.3,NEW (to 2026-06),Middle
LOAM8,all,503,0.3847345243785367,0.7263398131389167,30.6,NEW (to 2026-06),Middle
LORM8,all,633,0.42155517015023136,0.7386078469965167,30.1,NEW (to 2026-06),Middle
LTBM8,all,456,0.20917002003680774,0.4029862987617459,48.6,NEW (to 2026-06),Middle
LVAM8,all,873,0.3386859365441709,0.6069628329536222,44,NEW (to 2026-06),Middle
MBYM8,all,433,0.3393848650077481,0.7805849924791325,47.2,NEW (to 2026-06),Middle
MEDM8,all,341,0.49506071096085824,0.7872734361314361,41.6,NEW (to 2026-06),Middle
MINM8,all,450,0.13980769443041396,0.30781362128713635,-4.5,NEW (to 2026-06),Middle
MOBM8,all,766,0.33044121996177633,0.5007334568707927,-8.2,NEW (to 2026-06),Middle
MOTM8,all,942,0.3242920219786547,0.40161304082408245,-24.5,NEW (to 2026-06),Middle
MOYM8,all,800,0.3375427429130501,0.6553067556791163,8.5,NEW (to 2026-06),Middle
MSSM8,all,834,0.016314430952668046,0.2925607694967109,68.3,NEW (to 2026-06),Middle
MTLM8,all,462,0.29459647095482466,0.6262727539360988,-19.1,NEW (to 2026-06),Middle
MTRM8,all,786,-0.4841116801721468,0.7087533830503572,145.4,NEW (to 2026-06),Middle
NUAM8,all,358,0.5045929308229957,0.7398087104991625,39.7,NEW (to 2026-06),Middle
OHMM8,all,442,0.2581961104432495,0.831281143543682,50.2,NEW (to 2026-06),Middle
OTRM8,all,793,0.5306619104791219,0.8719462029699908,-23.5,NEW (to 2026-06),Middle
PARM8,all,358,0.495184230146831,0.7833393385169456,8.1,NEW (to 2026-06),Middle
RADM8,all,954,0.30679703770559463,0.512021839476611,-32.2,NEW (to 2026-06),Middle
RGTM8,all,869,0.4323083519749753,0.6119644643194014,32.3,NEW (to 2026-06),Middle
RMYM8,all,925,0.09036712194148422,0.7089618914639805,81.7,NEW (to 2026-06),Middle
RYOM8,all,861,-0.040460169952101444,0.17338990529860118,8.2,NEW (to 2026-06),Middle
SASM8,all,699,0.5442130615025791,0.7584125419501928,-15.2,NEW (to 2026-06),Middle
SBSM8,all,510,0.45364756170629106,0.7962473522441583,33.4,NEW (to 2026-06),Middle
SCYM8,all,617,0.21899374965778395,0.7547070323826631,74.1,NEW (to 2026-06),Middle
SDLM8,all,652,0.5279882729432093,0.7518744667111659,-27.3,NEW (to 2026-06),Middle
SDSM8,all,808,0.5576893474235436,0.6198492934406683,-11.4,NEW (to 2026-06),Middle
SURM8,all,946,0.7483927426919097,0.8351204451823449,-2.8,NEW (to 2026-06),Middle
SVYM8,all,331,0.4267287832021429,0.7269739237733306,36.2,NEW (to 2026-06),Middle
TAMM8,all,406,0.5028462598111311,0.7991331293603732,-20.6,NEW (to 2026-06),Middle
TRNM8,all,775,0.2966108825278474,0.5631186015534618,37.6,NEW (to 2026-06),Middle
TWOM8,all,960,0.4648854058553227,0.630035534070215,-2.5,NEW (to 2026-06),Middle
VLTM8,all,710,0.15354897532968825,0.34043295163976406,-17,NEW (to 2026-06),Middle
VOTM8,all,345,0.3488312161327518,0.6948034941348298,56,NEW (to 2026-06),Middle
WETM8,all,329,0.5408286356010835,0.7920963921981696,40.8,NEW (to 2026-06),Middle
WIEM8,all,861,0.3911546571918991,0.5586928282595712,2.1,NEW (to 2026-06),Middle
WNFM8,all,383,0.623663218463363,0.665963413755546,15.9,NEW (to 2026-06),Middle
WOFM8,all,356,0.6152007338001939,0.8055105940136803,9.9,NEW (to 2026-06),Middle
WRHM8,all,877,0.33589256625683495,0.5483777443919183,-23.2,NEW (to 2026-06),Middle
