depth,network,site_id,n,exact_acc,class_err,kappa
Middle,SNTL,SNTL:645,4095,0.25103785103785103,1.6593406593406594,0.031683158094879885
Middle,SNTL,SNTL:654,4962,0.28536880290205563,1.4334945586457073,0.0437958931195288
Middle,SNTL,SNTL:708,3233,0.3201360965047943,1.2551809464893289,0.3998613432769714
Middle,SNTL,SNTL:730,4040,0.32821782178217823,1.2819306930693068,0.1876813141111484
Middle,SNTL,SNTL:737,2282,0.26292725679228746,1.2677475898334793,0.5030446092936997
Middle,SNTL,SNTL:744,2586,0.20765661252900233,1.6504253673627223,0.04898019554070079
Middle,SNTL,SNTL:778,6017,0.32940003323915573,1.2745554262921721,0.267409043165047
Middle,SNTL,SNTL:783,0,NA,NA,NA
Middle,SNTL,SNTL:802,3630,0.29476584022038566,1.3487603305785123,0.22262696669894255
Middle,SNTL,SNTL:828,6326,0.27884919380335127,1.415270312993993,0.2937557336651525
Middle,SNTL,SNTL:834,7159,0.2538063975415561,1.438608744238022,0.21457019730857643
Middle,SNTL,SNTL:835,0,NA,NA,NA
Middle,SNTL,SNTL:867,1992,0.357429718875502,1.0251004016064258,0.3321988640376798
Middle,SNTL,SNTL:907,5758,0.3289336575199722,1.133379645710316,0.3427073281635589
Middle,UMRB Mesonet,TURN8,0,NA,NA,NA
Middle,UMRB Mesonet,UNIS2,0,NA,NA,NA
Middle,USCRN,1001,2607,0.32681242807825084,1.2454929037207518,0.35530048270378506
Middle,USCRN,1023,4720,0.32161016949152543,1.2370762711864407,0.15605020563050084
Middle,USCRN,1050,3721,0.2179521633969363,1.7815103466809998,0.06766044925459783
Middle,USCRN,1068,4193,0.2904841402337229,1.4211781540663009,0.24335589572814795
Middle,USCRN,1111,4799,0.401750364659304,0.9543654928110022,0.4030281038817048
Middle,USCRN,1124,4111,0.35173923619557285,1.045487715884213,0.3849996414085477
Middle,USCRN,1130,4517,0.42174009298206777,0.8901926057117556,0.5081179815498353
Middle,USCRN,1138,3344,0.3675239234449761,1.0711722488038278,0.3377349116410526
Middle,USCRN,1140,3252,0.3367158671586716,1.166359163591636,0.3420751525343744
Middle,UMRB Mesonet,BOMN8,0,NA,NA,NA
Middle,UMRB Mesonet,BTSM8,0,NA,NA,NA
Middle,UMRB Mesonet,BWLS2,0,NA,NA,NA
Middle,UMRB Mesonet,COOM8,0,NA,NA,NA
Middle,UMRB Mesonet,HNTM8,0,NA,NA,NA
Middle,UMRB Mesonet,IGMM8,0,NA,NA,NA
Middle,UMRB Mesonet,MCYM8,0,NA,NA,NA
Middle,UMRB Mesonet,PLMW4,0,NA,NA,NA
Middle,UMRB Mesonet,RAYN8,0,NA,NA,NA
Middle,UMRB Mesonet,ROUM8,0,NA,NA,NA
Middle,SCAN,SCAN:2008,7523,0.3151668217466436,1.256147813372325,0.2877018805629159
Middle,SCAN,SCAN:2025,7681,0.22926702252310896,1.8107017315453717,0.196976566109506
Middle,SCAN,SCAN:2046,7357,0.26464591545466903,1.5301073807258394,0.11503400978748643
Middle,SCAN,SCAN:2050,5013,0.2704967085577499,1.3566726511071214,0.25687600210111117
Middle,SCAN,SCAN:2056,6570,0.34657534246575344,1.1439878234398781,0.3772976700074206
Middle,SCAN,SCAN:2061,5967,0.3060164236634825,1.2619406737053795,0.2635846224960727
Middle,SCAN,SCAN:2094,6437,0.25229144011185334,1.535653254621718,0.156159726141509
Middle,SCAN,SCAN:2105,5656,0.29437765205091937,1.297029702970297,0.288581526120415
Middle,SCAN,SCAN:2113,5425,0.3174193548387097,1.2127188940092166,0.30874723693852246
Middle,SCAN,SCAN:2126,4986,0.22162053750501404,1.6397914159647011,0.021212896241789497
Middle,SCAN,SCAN:2138,5199,0.2192729371032891,1.618388151567609,0.11056477686758
Middle,SCAN,SCAN:2150,4058,0.34351897486446525,1.2028092656481024,0.2730917823030269
Middle,SCAN,SCAN:2154,3754,0.2623867874267448,1.5676611614278104,0.15272189501088893
Middle,SCAN,SCAN:2168,4343,0.2606493207460281,1.4114667280681557,0.2601821689486326
Middle,SCAN,SCAN:2169,4446,0.18533513270355376,1.9635627530364372,-0.04837199735248767
Middle,SCAN,SCAN:808,5198,0.2110427087341285,1.8216621777606772,0.015402988265550675
Middle,SNTL,SNTL:1045,4466,0.23421406180026869,1.7124944021495745,0.07788648594235324
Middle,SNTL,SNTL:1047,2638,0.2805155420773313,1.4651250947687642,0.14491122027135991
Middle,SNTL,SNTL:1056,4471,0.29277566539923955,1.4339074032654886,0.167497620773356
Middle,SNTL,SNTL:1059,2592,0.25540123456790126,1.521604938271605,0.12282891674739373
Middle,SNTL,SNTL:1080,0,NA,NA,NA
Middle,SNTL,SNTL:1099,3023,0.30697982136950047,1.238504796559709,0.35834550518401637
Middle,SNTL,SNTL:1110,4900,0.22775510204081634,1.579591836734694,0.06661311180918285
Middle,SNTL,SNTL:1114,3909,0.3123561013046815,1.2210283960092094,0.35432333205200883
Middle,SNTL,SNTL:1136,3635,0.25061898211829436,1.491334250343879,0.2167152648948461
Middle,SNTL,SNTL:1138,4864,0.3359375,1.1023848684210527,0.3409838047167595
Middle,SNTL,SNTL:1140,3573,0.3554436048138819,1.0959977609851665,0.2607297719578149
Middle,SNTL,SNTL:1145,4069,0.3266158761366429,1.2096338166625706,0.31964217687319707
Middle,SNTL,SNTL:1184,3993,0.32607062359128475,1.140495867768595,0.3492533099631222
Middle,SNTL,SNTL:1228,1942,0.2981462409886715,1.5623069001029866,0.14892701977202116
Middle,SNTL,SNTL:1236,2025,0.3002469135802469,1.1565432098765431,0.3858502343250311
Middle,SNTL,SNTL:1251,1416,0.19562146892655366,1.5889830508474576,0.268159640465647
Middle,SNTL,SNTL:1254,2777,0.22830392509902772,1.6373784659704718,0.20676673007934446
Middle,SNTL,SNTL:348,5250,0.30533333333333335,1.352,0.12002228611364828
Middle,SNTL,SNTL:368,3204,0.24625468164794007,1.5886392009987516,0.2195058736627939
Middle,SNTL,SNTL:424,3780,0.3082010582010582,1.2817460317460319,0.22915340870195725
Middle,SNTL,SNTL:428,5621,0.25155666251556663,1.668030599537449,0.0117146759492478
Middle,SNTL,SNTL:443,6329,0.25517459314267654,1.5440037920682572,0.1310265449022423
Middle,SNTL,SNTL:453,5835,0.2726649528706084,1.4342759211653813,0.1900249037168264
Middle,SNTL,SNTL:529,0,NA,NA,NA
Middle,SNTL,SNTL:540,5801,0.32063437338389933,1.238579555249095,0.2077787709743769
Middle,SNTL,SNTL:541,6476,0.2794935145151328,1.550802964793082,0.09637833736972955
Middle,SNTL,SNTL:554,2114,0.4824976348155156,0.8297067171239356,0.3406770201811833
Middle,SNTL,SNTL:573,6635,0.2605877920120573,1.4233609645817633,0.182282329855006
Middle,SNTL,SNTL:582,6827,0.2911967189102095,1.5476783360187492,0.14627012537560552
Middle,SNTL,SNTL:583,7033,0.29859235034835774,1.2519550689606143,0.31124854581811234
Middle,SNTL,SNTL:621,5342,0.3330213403219768,1.3848745788094348,0.13958719769192773
Middle,SNTL,SNTL:653,0,NA,NA,NA
Middle,SNTL,SNTL:680,3328,0.33052884615384615,1.1120793269230769,0.310974908201796
Middle,SNTL,SNTL:723,3618,0.3333333333333333,1.2581536760641239,0.16687744891263162
Middle,SNTL,SNTL:914,3725,0.3073825503355705,1.2357046979865771,0.3799557160118131
Middle,SNTL,SNTL:970,0,NA,NA,NA
Middle,SNTL,SNTL:971,8142,0.2829771554900516,1.5424957013018914,0.1526356438277089
Middle,USCRN,1012,4542,0.2335975341259357,1.8223249669749009,0.13599063231369063
Middle,USCRN,1020,4441,0.3292051339788336,1.1598739022742626,0.22412509407790743
Middle,USCRN,1025,2908,0.3321870701513067,1.2090784044016507,0.3882741287683998
Middle,USCRN,1032,3767,0.31351207857711705,1.2468808070082293,0.3022406294279408
Middle,USCRN,1036,4649,0.2503764250376425,1.5285007528500754,0.17126773198949308
Middle,USCRN,1232,4372,0.2516010978956999,1.488106129917658,0.08963807007578832
Middle,USCRN,1426,3757,0.32525951557093424,1.2629757785467128,0.29064840209843534
Middle,UMRB Mesonet,CROM8,0,NA,NA,NA
Middle,UMRB Mesonet,CYMW4,0,NA,NA,NA
Middle,UMRB Mesonet,FLNS2,0,NA,NA,NA
Middle,UMRB Mesonet,OILM8,0,NA,NA,NA
Middle,UMRB Mesonet,OKNN8,0,NA,NA,NA
Middle,UMRB Mesonet,ONMS2,0,NA,NA,NA
Middle,UMRB Mesonet,RBMS2,0,NA,NA,NA
