depth,network,site_id,fold,n_ml,n_sport,lon,lat,KGE_KGML,KGE_SPoRT,KGE_diff,r_KGML,r_SPoRT,r_diff,pbias_KGML,pbias_SPoRT,pbias_diff,abs_pbias_adv
Shallow,SNTL,SNTL:921,1,2166,2166,-105.80584,35.7073,-1.0932610633951438,-0.6317575814420966,-0.46150348195304725,0.678681311251905,0.7069504495479036,-0.02826913829599864,206.5,157,49.5,-49.5
Shallow,SNTL,SNTL:922,1,1376,1349,-105.78487,35.77154,-0.18537362267806579,0.07895184338971162,-0.2643254660677774,0.6642440578651232,0.4668986653835568,0.1973453924815664,113.7,66.7,47,-47
Shallow,SNTL,SNTL:926,9,1550,1227,-113.83402,43.72718,0.6007115173821674,0.04394169794915681,0.5567698194330106,0.802129473572692,0.33012457690943997,0.47200489666325207,2.5,28.2,-25.7,25.7
Shallow,SNTL,SNTL:935,9,2713,2686,-105.80355,39.57096,0.19778259943304688,-0.49827016739835805,0.6960527668314049,0.4515066778892142,0.31840189993954177,0.13310477794967246,42.4,130.6,-88.19999999999999,88.19999999999999
Shallow,SNTL,SNTL:937,8,2829,2802,-105.91072,39.43579,0.3836162772271037,-0.07304233398776083,0.4566586112148645,0.5726225515202688,0.29690472454122346,0.2757178269790453,38.3,81,-42.7,42.7
Shallow,SNTL,SNTL:938,9,1915,1888,-106.11316,39.30378,0.6529286742232774,0.4023183902202422,0.2506102840030352,0.6991182154073792,0.597521493568762,0.10159672183861712,4.8,25.2,-20.4,20.4
Shallow,SNTL,SNTL:939,10,3151,3124,-106.08063,39.02611,0.6735961738002905,0.40880714894730064,0.26478902485298983,0.7174834844993364,0.6964515046076633,0.021031979891673158,13.6,4.8,8.8,-8.8
Shallow,SNTL,SNTL:940,8,3747,3720,-106.74833,40.81557,0.7198415926070124,0.4583269183474933,0.26151467425951913,0.8726760581837751,0.8242112090974317,0.04846484908634341,-12.4,50.7,-63.1,38.300000000000004
Shallow,SNTL,SNTL:942,3,955,762,-121.94032,47.0444,-0.7990950592874149,-3.655895898068499,2.856800838781084,0.4437844323488605,0.4875402364998037,-0.04375580415094321,169.7,460.1,-290.40000000000003,290.40000000000003
Shallow,SNTL,SNTL:969,3,5695,4853,-111.41219,34.74594,0.54411356144074,0.43358970621224613,0.11052385522849384,0.8013932255769087,0.6711705434183401,0.13022268215856858,-4.4,-13,8.6,8.6
Shallow,SNTL,SNTL:970,9,732,732,-105.90655,39.7645,-3.4301176228363692,-9.754968678852808,6.324851056016439,0.37558553003557804,-0.022228147967289953,0.397813678002868,432.5,1066.6,-634.0999999999999,634.0999999999999
Shallow,SNTL,SNTL:971,8,7024,5306,-111.81372,40.93417,0.5676643347352909,0.43830275133082586,0.12936158340446502,0.7141002252028934,0.5035981980660607,0.21050202713683275,-2.2,25.9,-28.099999999999998,23.7
Shallow,SNTL,SNTL:972,4,5259,4033,-111.76457,40.83032999999999,0.8017591817132486,0.7012325315074179,0.10052665020583063,0.8987859062002848,0.7778978981635235,0.12088800803676125,-13.5,18.9,-32.4,5.399999999999999
