depth,network,site_id,fold,n_ml,n_sport,lon,lat,KGE_KGML,KGE_SPoRT,KGE_diff,r_KGML,r_SPoRT,r_diff,pbias_KGML,pbias_SPoRT,pbias_diff,abs_pbias_adv
Shallow,SNTL,SNTL:540,1,3761,3734,-120.28226,39.49001,0.805951105022937,-0.020626907133880046,0.826578012156817,0.9327156309722919,0.8301999411255248,0.10251568984676718,15.8,95.7,-79.9,79.9
Shallow,SNTL,SNTL:541,2,3639,3120,-120.31341999999998,39.42752,-0.16541238324075058,-2.5457465705156084,2.380334187274858,0.4728780111193229,0.25815383128322406,0.21472417983609887,103.3,344.6,-241.3,241.3
Shallow,SNTL,SNTL:543,4,3238,3103,-110.74604,39.89166,0.5727297690346718,0.2847930442465131,0.2879367247881587,0.8402073855614666,0.6545260901438582,0.18568129541760836,-16.5,-12.8,-3.6999999999999993,-3.6999999999999993
Shallow,SNTL,SNTL:546,8,1169,1169,-111.38512,44.4203,0.8701814587974592,0.35293503401372117,0.5172464247837381,0.9504407048549232,0.787520306433144,0.1629203984217792,11.9,47.4,-35.5,35.5
Shallow,SNTL,SNTL:548,9,3226,3196,-116.00517000000002,41.54675,0.8814789552833675,0.5079660777747732,0.3735128775085943,0.8821226392464321,0.7268421587474501,0.15528048049898202,-0.5,24,-24.5,23.5
Shallow,SNTL,SNTL:549,10,2879,2852,-116.01170000000002,41.5136,0.6220885193161081,0.2329714581230724,0.3891170611930357,0.9460111317887141,0.8006256183452061,0.14538551344350803,29.7,55.3,-25.599999999999998,25.599999999999998
Shallow,SNTL,SNTL:550,6,2790,2406,-115.44322,44.05092,0.3443981462107557,0.3955113191930023,-0.0511131729822466,0.879273034489735,0.8371023890156187,0.04217064547411631,-48.8,16.9,-65.69999999999999,-31.9
Shallow,SNTL,SNTL:554,3,1475,1449,-110.80177,42.26554000000001,0.8161351871959528,0.361894787708797,0.4542403994871558,0.9328578138891429,0.7269969015952678,0.20586091229387515,-4.8,23,-27.8,18.2
Shallow,SNTL,SNTL:557,2,3587,3237,-112.39273,38.48383,0.7193335817020003,0.35963083670255036,0.35970274499945,0.800640272111451,0.535739230280271,0.2649010418311799,-13.2,-7,-6.199999999999999,-6.199999999999999
Shallow,SNTL,SNTL:559,8,4539,3705,-109.54401,40.71632,0.7810025205896196,0.6127267432647863,0.16827577732483334,0.7847693126561813,0.651222450298523,0.13354686235765834,-4,-16,12,12
Shallow,SNTL,SNTL:561,8,4545,3866,-113.05386,37.52664,0.6464994523307195,0.26213546495030093,0.38436398738041855,0.8219470781874764,0.6051598064573034,0.21678727173017298,18.2,56.9,-38.7,38.7
Shallow,SNTL,SNTL:566,2,1576,1159,-110.43316,40.59709,0.425492156796085,0.40958103277219393,0.015911124023891055,0.8189108285289018,0.5298284786701806,0.2890823498587213,-45,-35.2,-9.799999999999997,-9.799999999999997
Shallow,SNTL,SNTL:569,4,4207,3745,-117.63197,41.51542,0.5740656981660563,0.3529414266559714,0.22112427151008496,0.8786055823704442,0.8247771597743038,0.0538284225961404,40.3,57.7,-17.400000000000006,17.400000000000006
Shallow,SNTL,SNTL:570,7,3726,3617,-115.3812,40.6448,0.7485080055816702,0.5753929022969926,0.1731151032846776,0.8704933336940432,0.7290309185925258,0.14146241510151747,-14.7,27,-41.7,12.3
Shallow,SNTL,SNTL:571,9,4058,3523,-105.86051,42.43566,0.6967337022862666,0.267886659079274,0.42884704320699263,0.8450509962174285,0.6209057938340101,0.2241452023834184,18,45,-27,27
