depth,network,site_id,fold,n_ml,n_sport,lon,lat,KGE_KGML,KGE_SPoRT,KGE_diff,r_KGML,r_SPoRT,r_diff,pbias_KGML,pbias_SPoRT,pbias_diff,abs_pbias_adv
Middle,SCAN,SCAN:2015,7,7862,5320,-105.41667,34.25,0.1517864526239221,0.06010315697282764,0.09168329565109445,0.404374794111671,0.6064012504344469,-0.20202645632277594,-6.1,81.8,-87.89999999999999,75.7
Middle,SCAN,SCAN:2016,7,8809,5919,-95.98333,30.083330000000004,0.5962953693591256,0.5170183865206038,0.0792769828385218,0.626611080484636,0.5192474712490552,0.10736360923558075,-5.8,-1.3,-4.5,-4.5
Middle,SCAN,SCAN:2017,7,7167,4648,-104.74033,40.85989,0.45086361199464486,0.5169228179343366,-0.06605920593969172,0.5541751490286513,0.6027736003688948,-0.04859845134024354,-10.3,-12.1,1.799999999999999,1.799999999999999
Middle,SCAN,SCAN:2018,6,6862,3887,-104.13333,42.06667,0.4383477537100853,0.2853205410437124,0.15302721266637287,0.6447875049994511,0.5144524216687063,0.13033508333074484,43.1,52.4,-9.299999999999997,9.299999999999997
Middle,SCAN,SCAN:2019,7,7842,4048,-109.8,48.48333,0.5270503428240629,0.5139921245045368,0.013058218319526138,0.715651654013003,0.5760348191437792,0.13961683486922383,-9,-15.7,6.699999999999999,6.699999999999999
Middle,SCAN,SCAN:2020,8,7434,4316,-100.91667,46.76667,0.6387972320208612,0.5832994086624262,0.055497823358435006,0.7589550984861768,0.73774767717425,0.021207421311926766,-6.3,-8.9,2.6000000000000005,2.6000000000000005
Middle,SCAN,SCAN:2021,5,8882,5109,-118.56667,47,0.5042696347588247,0.43689114679155394,0.06737848796727075,0.8302650831639178,0.8713172951031676,-0.041052211939249794,45.9,53.8,-7.899999999999999,7.899999999999999
Middle,SCAN,SCAN:2022,5,6052,4233,-98.01667,35.55,0.4737081737485547,0.4949044140016928,-0.021196240253138154,0.5626190111792945,0.5554488637937309,0.007170147385563541,9.9,-9.2,19.1,-0.7000000000000011
Middle,SCAN,SCAN:2024,5,7022,5247,-89.86667,34.25,0.6922713026384448,0.5884815543609961,0.10378974827744869,0.7888290792626274,0.8335350970692067,-0.044706017806579346,-21.6,-29.8,8.2,8.2
Middle,SCAN,SCAN:2025,3,7681,5502,-89.9,34.23333,0.4186261306928024,0.4842466867483336,-0.06562055605553119,0.5829677557104456,0.5406107713898346,0.04235698432061097,4,3.3,0.7000000000000002,-0.7000000000000002
Middle,SCAN,SCAN:2026,9,6082,4713,-110.05,31.73333,0.4103835969482821,-0.9147175778891907,1.3251011748374728,0.4956622542818242,0.5488912738395892,-0.053229019557765045,9.5,184.6,-175.1,175.1
Middle,SCAN,SCAN:2027,7,7894,5313,-83.55,31.499999999999993,0.5175400535007455,0.17075109809328115,0.34678895540746435,0.6180922758659547,0.3328781760614517,0.285214099804503,29.5,44.7,-15.200000000000003,15.200000000000003
Middle,SCAN,SCAN:2028,4,8078,6086,-76.66667,40.66667,0.562958297919131,0.3013482122193383,0.2616100856997927,0.7255181987881015,0.5304111821670071,0.19510701662109442,19.4,45.6,-26.200000000000003,26.200000000000003
Middle,SCAN,SCAN:2030,1,6581,4397,-91.88333,34.85,0.6995981811557981,0.6828400029543013,0.01675817820149683,0.8332269328246062,0.7397778563093399,0.09344907651526635,7.9,-18,25.9,10.1
Middle,SCAN,SCAN:2031,10,6551,4579,-93.73333,42.016670000000005,0.48469674282504305,0.5842136625028368,-0.09951691967779375,0.6042118615259784,0.7253912568976095,-0.12117939537163114,-31.2,-29.7,-1.5,-1.5
Middle,SCAN,SCAN:2032,6,8102,5729,-90.65,33.38333000000001,0.5107268902752815,0.3468132589467938,0.16391363132848769,0.5509706357241145,0.5289757843728528,0.02199485135126178,-18.4,-42.3,23.9,23.9
Middle,SCAN,SCAN:2033,8,7546,5247,-90.94208,32.75358000000001,-1.0956535470340092,-1.323632397636033,0.22797885060202372,0.3880131398190016,0.40562507134612413,-0.017611931527122537,30.8,-43.1,73.9,12.3
Middle,SCAN,SCAN:2034,1,6921,5016,-90.41142,34.6764,0.7072394925887479,0.5297944130367842,0.17744507955196365,0.7111837668359496,0.6544066611412519,0.05677710569469774,-4.7,-29.7,25,25
Middle,SCAN,SCAN:2035,2,7853,5232,-90.35843,34.06301,0.5645826824566467,0.09758668177414687,0.4669960006824998,0.5650410070503955,0.5685122112522224,-0.003471204201826894,-1.9,-40.1,38.2,38.2
Middle,SCAN,SCAN:2036,4,2937,2430,-77.93333,40.71667,0.3451966629196198,-0.1480261070180786,0.4932227699376984,0.574616611914692,0.2462480912117151,0.32836852070297695,36.8,58.1,-21.300000000000004,21.300000000000004
Middle,SCAN,SCAN:2037,6,6582,5012,-79.73333,34.3,0.6679177172770682,0.3886524313523352,0.279265285924733,0.7992025426876134,0.6633033621602937,0.13589918052731964,-0.6,51,-51.6,50.4
Middle,SCAN,SCAN:2038,2,7336,5551,-81.2,32.666669999999996,0.4037074693297613,0.36801170344297285,0.035695765886788466,0.5716016535795172,0.3780062161010906,0.1935954374784266,-30.1,2.8,-32.9,-27.3
Middle,SCAN,SCAN:2039,4,7934,6383,-78.11667,38.23333,-0.04129078428611721,-0.026355267609552646,-0.014935516676564564,0.8264389605724721,0.6514436729801198,0.17499528759235228,-13.3,-21,7.699999999999999,7.699999999999999
Middle,SCAN,SCAN:2041,7,5899,4098,-72.83451,44.53509,0.5777053000846739,0.2820700650288541,0.2956352350558198,0.6773849495847671,0.5349001480216156,0.14248480156315158,-17.2,-29.8,12.600000000000001,12.600000000000001
Middle,SCAN,SCAN:2042,7,5697,3585,-73.03834000000002,43.05753,0.43296345096640254,0.18495210854542976,0.24801134242097278,0.46010234271815487,0.28261913268963945,0.17748321002851541,8.4,-8.2,16.6,-0.20000000000000107
Middle,SCAN,SCAN:2043,8,6833,NA,-72.02593,43.7756,0.441017743090089,NA,NA,0.558437154973326,NA,NA,-18.9,NA,NA,NA
