site_id,network,longitude,latitude,oos_shallow,oos_middle,fully_oos
MBYM8,UMRB Mesonet,-107.65106,46.93618,TRUE,TRUE,TRUE
MCKN8,UMRB Mesonet,-100.38346,46.82221,TRUE,TRUE,TRUE
MCMS2,UMRB Mesonet,-100.1151,45.6712,TRUE,TRUE,TRUE
MDMS2,UMRB Mesonet,-97.0898,43.9146,TRUE,TRUE,TRUE
MEDM8,UMRB Mesonet,-104.73097,48.51998,TRUE,TRUE,TRUE
MEIN1,UMRB Mesonet,-101.72452,42.61576,TRUE,TRUE,TRUE
MINM8,UMRB Mesonet,-112.63338,48.52725,TRUE,TRUE,TRUE
MLMS2,UMRB Mesonet,-101.0909,44.0851,TRUE,TRUE,TRUE
MNMS2,UMRB Mesonet,-97.4524,43.2109,TRUE,FALSE,FALSE
MNNN8,UMRB Mesonet,-102.8325,47.1925,TRUE,TRUE,TRUE
MOBM8,UMRB Mesonet,-108.09801,47.06115,TRUE,TRUE,TRUE
MOTM8,UMRB Mesonet,-108.95924,45.84138,TRUE,TRUE,TRUE
MOYM8,UMRB Mesonet,-107.92134,46.7823,TRUE,TRUE,TRUE
MRNN8,UMRB Mesonet,-103.9373,46.3228,TRUE,TRUE,TRUE
MSSM8,UMRB Mesonet,-108.02182,46.53997,TRUE,TRUE,TRUE
MTLM8,UMRB Mesonet,-111.03753,48.85226,TRUE,TRUE,TRUE
MTRM8,UMRB Mesonet,-108.33595,47.92644,TRUE,TRUE,TRUE
MXAN8,UMRB Mesonet,-101.31472,47.87,TRUE,TRUE,TRUE
NARN1,UMRB Mesonet,-99.138759,42.966264,TRUE,TRUE,TRUE
NCMW4,UMRB Mesonet,-104.2619,43.6662,TRUE,TRUE,TRUE
NEDN8,UMRB Mesonet,-102.96803,46.52645,TRUE,TRUE,TRUE
NSLN8,UMRB Mesonet,-101.34194,46.76778,TRUE,TRUE,TRUE
NUAM8,UMRB Mesonet,-106.32129,48.19608,TRUE,TRUE,TRUE
