depth,network,site_id,n_ml,n_sport,longitude,latitude,robust,KGE_KGML,KGE_SPoRT,KGE_diff,r_KGML,r_SPoRT,r_diff,pbias_KGML,pbias_SPoRT,pbias_diff,abs_pbias_adv
Middle,SNTL,SNTL:515,90,90,-120.6586,48.72047,FALSE,-18.638516247802947,-24.20294084253188,5.5644245947289335,-0.6190216661680747,-0.3964718476776665,-0.22254981849040822,398.8,881.9,-483.09999999999997,483.09999999999997
Middle,SNTL,SNTL:523,64,63,-118.10657,45.69682,FALSE,0.7304652229036603,0.3672603822782663,0.36320484062539404,0.9670651822213537,0.9478065213002959,0.01925866092105788,26.3,40.8,-14.499999999999996,14.499999999999996
Middle,SNTL,SNTL:568,317,289,-111.82498,44.58907000000001,FALSE,0.30822793503058366,-0.5815441200511173,0.889772055081701,0.42321722654784766,0.6858588385623985,-0.26264161201455083,34.2,147.6,-113.39999999999999,113.39999999999999
Middle,SNTL,SNTL:599,0,NA,-121.08095000000002,46.3575,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle,SNTL,SNTL:608,0,NA,-119.49585,45.10513,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle,SNTL,SNTL:711,656,299,-120.7358,48.51865,TRUE,0.4942777494435533,0.32319917294844824,0.17107857649510505,0.8954585868161734,0.6734074424454395,0.22205114437073392,-32.6,40.8,-73.4,8.199999999999996
Middle,SNTL,SNTL:721,0,NA,-118.83842,44.00883000000001,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle,SNTL,SNTL:728,496,349,-119.8383,48.65518000000001,TRUE,0.6287424141389473,0.07346815293270947,0.5552742612062378,0.9519122102663028,0.9158101475544183,0.03610206271188454,19.7,71.9,-52.2,52.2
Middle,SNTL,SNTL:734,0,NA,-121.06323,47.38485,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle,SNTL,SNTL:767,477,348,-119.54013,43.94885000000001,TRUE,0.7669234386430919,0.37317995876969057,0.3937434798734013,0.7682039260777359,0.9193441296637518,-0.15114020358601588,-0.8,-31.8,31,31
Middle,SNTL,SNTL:781,465,324,-110.62165,46.77962000000001,TRUE,0.2772198924878001,0.14220252790982102,0.13501736457797908,0.40127032543168156,0.5212058726204631,-0.11993554718878158,-19.3,-24,4.699999999999999,4.699999999999999
Middle,SNTL,SNTL:810,70,70,-121.42592,42.69108,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle,SNTL,SNTL:821,169,169,-118.42617,44.65567,FALSE,0.016947891810442317,-0.46533098435253706,0.4822788761629794,0.08146343974744426,-0.32592319082959154,0.4073866305770358,20.6,34.6,-14,14
Middle,SNTL,SNTL:974,321,NA,-123.42594,47.94485000000001,FALSE,-0.1831882227717898,NA,NA,0.3790306527342563,NA,NA,98,NA,NA,NA
Middle,SNTL,SNTL:999,342,187,-121.69822999999998,48.76292000000001,FALSE,0.6300899570097067,-0.12667768910392674,0.7567676461136335,0.8396373511181578,0.6439506839824012,0.19568666713575666,-0.7,98.8,-99.5,98.1
Middle,UMRB Mesonet,ACMS2,103,NA,-99.0929,43.4992,FALSE,-0.045738523765812555,NA,NA,-0.025148619645406243,NA,NA,-19.8,NA,NA,NA
Middle,UMRB Mesonet,ALMW4,593,NA,-104.2483,44.5871,TRUE,0.19468128004392715,NA,NA,0.46769786717640993,NA,NA,-10.7,NA,NA,NA
Middle,UMRB Mesonet,ALUN1,124,NA,-102.89401,42.05799,FALSE,0.10708119296230612,NA,NA,0.21236178596802754,NA,NA,6.7,NA,NA,NA
Middle,UMRB Mesonet,ASAM8,464,NA,-106.14318,45.57326,TRUE,0.5466732095280663,NA,NA,0.863243783131987,NA,NA,-5.6,NA,NA,NA
Middle,UMRB Mesonet,AVMS2,99,NA,-98.0002,43.0096,FALSE,0.32616879762871676,NA,NA,0.8467280906532328,NA,NA,-4.2,NA,NA,NA
Middle,UMRB Mesonet,AVNW4,625,NA,-104.5444,44.8605,TRUE,0.5671031739071988,NA,NA,0.7118922860746024,NA,NA,11.8,NA,NA,NA
Middle,UMRB Mesonet,AWMS2,70,NA,-98.6834,45.4054,FALSE,0.3166191356492929,NA,NA,0.7860939469643293,NA,NA,61.5,NA,NA,NA
Middle,UMRB Mesonet,BDEM8,27,NA,-105.25889,48.55058,FALSE,0.438317808108721,NA,NA,0.8060795185832839,NA,NA,-11.7,NA,NA,NA
Middle,UMRB Mesonet,BDMS2,33,NA,-98.2781,45.1544,FALSE,0.35881325699240363,NA,NA,0.48661422566591156,NA,NA,-18.4,NA,NA,NA
Middle,UMRB Mesonet,BDMW4,330,NA,-105.0406,44.953,FALSE,0.45168435823110775,NA,NA,0.719852903669768,NA,NA,18.6,NA,NA,NA
Middle,UMRB Mesonet,BFDN8,131,NA,-103.92594,47.97074,FALSE,0.19001376346742926,NA,NA,0.8768944174589839,NA,NA,-57.1,NA,NA,NA
Middle,UMRB Mesonet,BMRN8,141,NA,-99.31836,47.74575,FALSE,0.3331135622381549,NA,NA,0.9554092498248032,NA,NA,-9.3,NA,NA,NA
Middle,UMRB Mesonet,BNGM8,152,NA,-108.49062,45.62588,FALSE,0.3534501740232445,NA,NA,0.8488619995625968,NA,NA,-35.6,NA,NA,NA
